rep1,rep2,BrayCurtis_dist
VRP_1_1,VRP_2_2,0.6320208057672126
VRP_2_1,VRP_2_2,0.5039597827680734
VRP_3_1,VRP_2_2,0.5304617813919699
VRP_1_2,VRP_2_2,0.5218762760914466
VRP_1_3,VRP_2_2,0.4948039827304732
VRP_2_3,VRP_2_2,0.5079628943389857
VRP_2_2,VRP_1_1,0.6320208057672126
VRP_2_1,VRP_1_1,0.533267497665377
VRP_3_1,VRP_1_1,0.5827226445677237
VRP_1_2,VRP_1_1,0.5886534395105055
VRP_1_3,VRP_1_1,0.652772075143855
VRP_2_3,VRP_1_1,0.586473076712334
VRP_3_2,VRP_1_1,0.5809224711077834
VRP_3_3,VRP_1_1,0.560646252933792
VRP_2_2,VRP_2_1,0.5039597827680734
VRP_1_1,VRP_2_1,0.533267497665377
VRP_1_2,VRP_2_1,0.5185145481462912
VRP_2_2,VRP_3_1,0.5304617813919699
VRP_1_1,VRP_3_1,0.5827226445677237
VRP_2_2,VRP_1_2,0.5218762760914466
VRP_1_1,VRP_1_2,0.5886534395105055
VRP_2_1,VRP_1_2,0.5185145481462912
VRP_2_3,VRP_1_2,0.5952976475371446
VRP_2_2,VRP_1_3,0.4948039827304732
VRP_1_1,VRP_1_3,0.652772075143855
VRP_2_2,VRP_2_3,0.5079628943389857
VRP_1_1,VRP_2_3,0.586473076712334
VRP_1_2,VRP_2_3,0.5952976475371446
VRP_1_1,VRP_3_2,0.5809224711077834
VRP_1_1,VRP_3_3,0.560646252933792
