rep1,rep2,BrayCurtis_dist
FRP_1_2,FRP_3_1,0.9990945089400348
FRP_1_2,FRP_1_1,0.9993396169778472
FRP_1_2,FRP_2_1,0.9995153808875453
FRP_3_1,FRP_1_2,0.9990945089400348
FRP_1_1,FRP_1_2,0.9993396169778472
FRP_2_1,FRP_1_2,0.9995153808875453
FRP_1_3,FRP_1_2,0.9995939015617386
FRP_2_2,FRP_1_2,0.9996715508275095
FRP_2_3,FRP_1_2,0.9996089813965381
FRP_3_2,FRP_1_2,0.9995936198313522
FRP_3_3,FRP_1_2,0.9994778766985741
FRP_1_2,FRP_1_3,0.9995939015617386
FRP_1_2,FRP_2_2,0.9996715508275095
FRP_1_2,FRP_2_3,0.9996089813965381
FRP_1_2,FRP_3_2,0.9995936198313522
FRP_1_2,FRP_3_3,0.9994778766985741
